l=3, p=34, p2=26, z=0.717071520224044, z2=1.8057304658655973, w=0.0010287673350452653, w2=0.0010296737438786933, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=33, p2=29, z=0.9184477497515383, z2=1.1614907417079297, w=0.0010873259813892514, w2=0.001078596677360687, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=38, p2=25, z=3.5573113530555145, z2=1.2837176984793486, w=0.0010193324867468368, w2=0.001012305963170324, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=26, p2=37, z=1.25716777727605, z2=1.6922402255220022, w=0.0010063151663202068, w2=0.0010807355944112192, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=26, p2=36, z=1.4207437136917276, z2=2.698007678543532, w=0.0010900575869576131, w2=0.0010169315081343902, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=32, p2=30, z=2.4448708133877237, z2=1.6461840837315953, w=0.001085163409992168, w2=0.0010983746068549565, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=25, p2=37, z=3.146825637126883, z2=1.6311061788644168, w=0.0010206999815298079, w2=0.0010014819046462414, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=34, p2=28, z=0.325334986756965, z2=2.9170010567109554, w=0.0010042648915517798, w2=0.0010806986115994995, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=35, p2=27, z=1.8254646656284237, z2=1.691347359605016, w=0.001019739547501663, w2=0.0010833024518797692, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=38, p2=24, z=3.2672696925148035, z2=3.342746422145377, w=0.0010815153595318406, w2=0.0010899519136227309, val_np=(nan+nanj), val_jax=0j
l=-3, p=22, p2=38, z=1.4185866498778348, z2=0.34124305519247505, w=0.0010349050651479604, w2=0.0010746161881277888, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=24, p2=39, z=3.2306420549164483, z2=1.6068164299249297, w=0.0010604309002225705, w2=0.0010582188804748264, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=31, p2=29, z=0.5286805378559603, z2=3.878070138543847, w=0.0010335502303691602, w2=0.0010407483348211504, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=35, p2=26, z=2.8284163819360364, z2=0.7610994286768166, w=0.0010073699464573482, w2=0.0010857422211766415, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=25, p2=35, z=0.03510234406631692, z2=3.1018270793064855, w=0.0010688041162709226, w2=0.0010379680099761822, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=37, p2=25, z=1.2546481019151035, z2=1.3946009818166485, w=0.001033704144541136, w2=0.0010628631660646413, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=25, p2=37, z=0.291978959749293, z2=3.2658005535410424, w=0.0010054732427999945, w2=0.0010609405767851297, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=37, p2=24, z=1.006610201808489, z2=2.4606680131619605, w=0.0010018426105872296, w2=0.001050656052145986, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=31, p2=30, z=2.357848748029095, z2=1.372578390418303, w=0.0010346449596435048, w2=0.001072781011086614, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=35, p2=25, z=2.9418848706510565, z2=2.2369413874836295, w=0.0010394677313653312, w2=0.0010131030006555626, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=35, p2=25, z=0.46946951410274285, z2=0.18465570907108614, w=0.0010396087928769332, w2=0.0010901637049174563, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=29, p2=34, z=0.5050545236173543, z2=1.9765248749669406, w=0.001075841976315069, w2=0.001026900016799373, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=26, p2=37, z=1.8518349304855453, z2=3.112976184693631, w=0.0010999235480503183, w2=0.0010467219781948684, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=27, p2=33, z=3.383684309852309, z2=2.620968964878655, w=0.0010525871833007793, w2=0.0010831085719869918, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=34, p2=26, z=0.30814902632861824, z2=1.7890508325888586, w=0.001097457232114888, w2=0.0010054479135448591, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=37, p2=24, z=1.1507865620693336, z2=1.0982783633129536, w=0.0010703147140569544, w2=0.0010160455222808882, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=27, p2=36, z=2.6584615659254474, z2=2.309321879105757, w=0.0010290134641693061, w2=0.0010414178563604845, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=28, p2=32, z=0.7656065731793831, z2=2.1218945253098336, w=0.0010646317150498099, w2=0.0010552166391444389, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=33, p2=30, z=3.166845974557849, z2=3.10815537087893, w=0.001017534599023534, w2=0.0010615474022822363, val_np=(nan+nanj), val_jax=(nan+nanj)
